1,0,0,90.75,-82.02,55.127,15
2,20000,0,91.04,-81.914,54.748,15
3,40000,0,91.331,-81.807,54.416,15
4,60000,0,91.622,-81.701,53.982,15
5,80000,0,91.913,-81.595,53.703,15
6,100000,0,92.344,-81.368,53.585,15
7,120000,0,92.724,-81.209,53.418,15
8,140000,0,93.092,-81.055,53.225,15
9,160000,0,93.42,-80.843,53.044,15
10,180000,0,93.618,-80.64,52.912,15
11,200000,0,93.708,-80.511,52.677,15
12,220000,0,93.903,-80.341,52.401,15
13,240000,0,94.077,-80.297,52.012,15
14,260000,0,94.249,-80.071,51.662,15
15,280000,0,94.493,-80.356,51.257,15
16,300000,0,94.833,-80.981,50.743,15
17,320000,0,95.098,-81.716,50.106,15
18,340000,0,95.352,-82.034,49.462,16
19,360000,0,95.651,-82.255,48.892,16
20,380000,0,96.009,-81.984,48.299,16
21,400000,0,96.309,-81.558,47.706,16
22,420000,0,96.609,-81.132,47.151,16
23,440000,0,97.001,-81.052,46.537,16
24,460000,0,97.316,-81.321,46.028,16
25,480000,0,97.386,-81.894,45.613,16
26,500000,0,97.456,-82.465,45.202,16
27,520000,0,97.549,-82.904,44.836,16
28,540000,0,97.832,-83.146,44.449,16
29,560000,0,98.278,-83.331,44.274,16
30,580000,0,98.788,-83.412,44.401,16
31,600000,0,99.298,-83.491,44.489,16
32,620000,0,99.805,-83.579,44.523,16
33,640000,0,100.237,-83.844,44.66,16
34,660000,0,101.195,-83.956,44.746,16
35,680000,0,102.152,-84.068,44.548,16
36,700000,0,103.11,-84.18,44.304,16
37,0,20000,90.74,-81.442,55.318,15
38,20000,20000,91.031,-81.336,55.023,15
39,40000,20000,91.322,-81.23,54.72,15
40,60000,20000,91.604,-81.117,54.366,15
41,80000,20000,91.88,-81.057,53.856,15
42,100000,20000,92.184,-80.949,53.498,15
43,120000,20000,92.636,-80.8,53.329,15
44,140000,20000,92.995,-80.634,53.036,15
45,160000,20000,93.281,-80.419,52.916,15
46,180000,20000,93.512,-80.316,52.932,1
47,200000,20000,93.705,-80.146,52.767,15
48,220000,20000,93.892,-80.038,52.523,15
49,240000,20000,94.062,-80.009,52.198,15
50,260000,20000,94.234,-79.802,51.831,15
51,280000,20000,94.407,-79.722,51.304,15
52,300000,20000,94.708,-80.403,50.737,15
53,320000,20000,94.923,-80.988,50.103,15
54,340000,20000,95.186,-81.248,49.545,16
55,360000,20000,95.457,-81.499,48.905,16
56,380000,20000,95.873,-81.381,48.233,16
